GRB	Redshift_crosscheck	T90	Gamma	Fluence	FluenceError	PhotonIndex	PhotonIndexError	NH	PeakFlux	PeakFluxError	log10Ta	log10TaErr	log10Fa	log10FaErr	alpha	alphaErr	beta	betaErr
GRB190719C	2.469	185.7	1.5415	51	3	1.64	0.09	0.899137	5.5	0.3	4.88123	0.1943	-11.257	0.2175	1.55953	0.21085	1.0899999999999999	0.27
GRB190829A	0.0785	58.2	2.0913	64	7	2.56	0.21	11.196957	18.0	2.7	3.40640655	0.00974555	-8.58538291	0.0077359	1.18850034	0.00361642	NaN	NaN
GRB191011A	1.722	7.37	1.81479	3.3	0.4	1.94	0.17	4.47028	1.8	0.2	3.15321333	0.06597695	-10.8132081	0.005719327	1.30602449	0.05756962	0.8999999999999999	0.45
GRB191221B	1.148	48.00	1.843	190	10	1.24	0.05	2.13061e-05	4.8	0.7	1.95518066	0.05366691	-8.11145684	0.06184721	1.15734724	0.00551831	1.3900000000000001	0.175
GRB200205B	1.465	458.0	1.90881	54	2	1.36	0.22	5.74026e-05	2.0	0.2	4.53640048	0.08886983	-11.7337376	0.10035241	1.56884903	0.19267266	0.53	0.78
GRB201014A	4.56	36.2	1.97336	3.1	0.7	2.55	0.37	14.2058	0.3	0.2	5.54700512	0.16137784	-12.43719871	0.33104417	2.73545391	0.94410954	2.1	2.25
GRB201020A	2.903	14.17	2.0761	9.2	0.7	2.25	0.14	0.856219	2.1	0.2	3.96908872	0.04826492	-11.0900559	0.04915322	1.55158826	0.08306159	0.8999999999999999	0.5
GRB201024A	0.999	5.00	2.07522	8.1	0.9	2.1	0.18	1.698663	3.7	0.6	3.01817341	0.63285167	-10.4667906	0.58074222	0.99913283	0.03486451	0.6100000000000001	0.885
GRB201104B	1.954	8.66	1.55046	18	1	1.47	0.07	5.37756	4.1	0.3	2.72159651	0.02972805	-9.38944702	0.02110237	1.19537497	0.02348264	0.30000000000000004	0.5
GRB201221A	5.70	44.5	1.45068	18	2	1.4	0.15	72.9997	1.0	0.3	4.54931529	0.02804575	-12.0789806	0.04385192	2.93923332	0.004540267	NaN	NaN
