GRB,Redshift_crosscheck,T90,Gamma,Fluence,FluenceError,PhotonIndex,PhotonIndexError,NH,PeakFlux,PeakFluxError,log10Ta,log10TaErr,log10FaErr,log10Fa,alpha,alphaErr,beta,betaErr
GRB190719C,2.469,185.7,1.5415,51,3,1.64,0.09,0.899137,5.5,0.3,4.88123,0.1943,0.2175,-11.257,1.55953,0.21085,1.09,0.27
GRB190829A,0.0785,58.2,2.0913,64,7,2.56,0.21,11.196957,18,2.7,3.40640655,0.00974555,0.0077359,-8.58538291,1.18850034,0.00361642,1.16, 0.065
GRB191011A,1.722,7.37,1.81479,3.3,0.4,1.94,0.17,4.47028,1.8,0.2,3.15321333,0.06597695,0.05719327,-10.8132081,1.30602449,0.05756962,0.9,0.45
GRB191221B,1.148,48,1.843,190,10,1.24,0.05,2.13E-05,4.8,0.7,1.95518066,0.05366691,0.06184721,-8.11145684,1.15734724,0.00551831,1.39,0.175
GRB200205B,1.465,458,1.90881,54,2,1.36,0.22,5.74E-05,2,0.2,4.53640048,0.08886983,0.10035241,-11.7337376,1.56884903,0.19267266,0.53,0.78
GRB201014A,4.56,36.2,1.97336,3.1,0.7,2.55,0.37,14.2058,0.3,0.2,3.37597,0.296352,0.14198,-11.0529,0.742849,0.0811106,1.05,0.86
GRB201020A,2.903,14.17,2.0761,9.2,0.7,2.25,0.14,0.856219,2.1,0.2,3.96908872,0.04826492,0.04915322,-11.0900559,1.55158826,0.08306159,0.9,0.5
GRB201024A,0.999,5,2.07522,8.1,0.9,2.1,0.18,1.698663,3.7,0.6,3.01817341,0.63285167,0.58074222,-10.4667906,0.99913283,0.03486451,0.61,0.885
GRB201104B,1.954,8.66,1.55046,18,1,1.47,0.07,5.37756,4.1,0.3,2.72159651,0.02972805,0.02110237,-9.38944702,1.19537497,0.02348264,0.3,0.5
GRB201221A,5.7,44.5,1.45068,18,2,1.4,0.15,72.9997,1,0.3,3.69587,0.223272,0.08575,-10.8802,1.06263,0.0994399,1.12,0.515
GRB210210A,0.715,6.6,1.85188,9.8,0.8,1.53,0.58,1.327992,7,0.5,3.72413045,0.08857348,0.05799791,-10.1403778,1.5451851,0.10645081,1.00,0.195
GRB210222B,2.198,12.82,1.98,3.4,0.7,2.37,0.33,1.4,1.4,0.3,3.24642494,0.04927183,0.04184217,-10.4520599,1.37828029,0.005516005,1.5,0.55
GRB210411C,2.826,12.8,1.88408,12,1,1.6,0.4,1.14806,4.8,0.3,2.93128506,0.05901459,0.05048963,-9.72925773,1.16829405,0.03209979,0.56,0.23
GRB210517A,2.486,3.06,1.71079,1.5,0.3,1.85,0.25,1.43775,1.5,0.2,3.057651,0.32132806,0.25872455,-10.8415194,1.21043545,0.08060357,0.71,0.21
GRB210610A,3.54,13.62,1.83562,10,1,1.41,0.19,2.25621,2.4,0.4,3.15453451,1.28215864,0.85146569,-10.4044334,1.0816785,0.07850685,0.93,0.17
GRB210619B,1.937,60.9,1.92306,950,10,1.41,0.02,6.82815,115,2.2,2.91049117,0.01099582,0.01027813,-8.55006175,1.12578835,0.00437126,0.846,0.1005
GRB210722A,1.145,50.2,1.83712,25,2,1.62,0.14,0.347208,2.2,0.5,3.6504,0.0395981,0.0364819,-10.3507,1.43908,0.048071,0.87, 0.24
GRB210731A,1.2525,22.51,2.06317,22,2,-0.25,0.59,0.832807,1.6,0.3,4.80200435,0.11699725,0.16085961,-11.9404653,1.74153741,0.27863334,0.86,0.33
GRB211024B,1.1137,603.5,2.08,68,3,1.63,0.09,0.97,0.9,0.2,3.43921565,0.01167528,0.01916437,-8.56429146,1.92622006,0.00965772,1.07,0.055
GRB220101A,4.618,173.36,1.62241,250,0,1.13,0.13,8.01125,7.3,0.3,3.04134881,0.02317526,0.01431841,-8.69262974,1.20052929,0.01255481,0.815,0.07
GRB220117A,4.961,49.81,1.78537,16,2,1.84,0.18,9.89303,1.9,0.4,3.43803362,0.04500955,0.05084186,-10.1070569,1.68612083,0.06200239,0.8, 0.115
GRB220521A,5.57,13.55,2.02179,8.1,0.8,1.97,0.18,7.14942,4.7,0.4,3.30131796,0.13206168,0.16334814,-10.6276115,1.71067512,0.12291833,1.1, 0.45
GRB220611A,2.3608,57,1.90103,6.7,1.3,1.87,0.29,0.265913011,NaN,NaN,5.53,0.81046481,0.22640221,-12.4941008,2.26249671,0.50304248,0.32,0.35
GRB221110A,4.06,8.98,1.88143,5.1,0.5,1.41,0.16,8.36907,1.1,0.2,2.20438137,0.68618385,0.67651915,-9.52540051,1.02202171,0.03483546,1.2,0.45
GRB230116D,3.81,41,1.76412,8.12,1.2,1.38,0.22,1.45E-09,0.6,0.2,3.79761,0.13824,0.1014,-11.1278,1.57289,0.23491,0.8,0.295
GRB230325A,1.664,38.05,2.0855,13,2,1.82,0.18,16.9505,3.3,0.4,3.7823081,0.20042492,0.1875455,-10.9066853,0.931411844,0.05714513,1,0.45
GRB230328B,0.09,19.23,1.89331,43,2,1.22,0.29,1.398957,8.4,0.5,3.66388,0.03231,0.0267,-10.1038,1.20938,0.02421,0.9,0.55
GRB230414B,3.568,25.98,2.02038,4.7,1,1.6,0.3,4.92316,0.6,0.2,4.8792574,0.069549,0.11074106,-11.9505263,2.06160972,0.21988187,1.1,0.6
GRB230506C,3.7,31,2.08995,17,2,1.89,0.17,0.914635,2.4,0.5,4.25859,0.11841,0.1023,-11.4531,1.14181,0.11299,0.9,0.55
GRB230818A,2.42,9.82,2.00403,19,1,1.36,0.1,2.05956,6.7,0.5,3.9564,0.12794,0.2044,-11.0883,1.39195,0.19715,1.19,1.14
