time_sec	flux	flux_err
5377.068	7.1989045954553495e-12	1.63895024810982e-12
5544.366	6.3884248116940004e-12	1.41951582158526e-12
5738.326	5.20614601504958e-12	1.18886261107064e-12
5912.607	6.313813366268259e-12	1.43023245090634e-12
6113.797	4.09791362076047e-12	1.0912255521966e-12
6251.256	1.0514074396157899e-11	2.36037320940349e-12
6394.747	7.2586634751521294e-12	1.64757105053059e-12
6599.531	6.60528001787891e-12	1.1187368815538899e-12
10889.847	6.40790442888232e-12	1.70019025655557e-12
11854.971	4.32261749845166e-12	1.14887793149765e-12
12232.889	3.33045327447386e-12	7.13184933735702e-13
15795.185	5.38362281814182e-12	9.80600627822667e-13
17724.214	6.212210324145329e-12	1.40636904973905e-12
17927.15	4.31795966847826e-12	1.1334571058428699e-12
18119.252	4.203816225768e-12	1.105660521644e-12
22496.154	2.8309616217933298e-12	5.20305623231517e-13
27418.92	2.82400031629098e-12	6.93543686227151e-13
47885.546	8.47941867134009e-13	1.7116242057685899e-13
56290.823	8.89924751640011e-13	2.25508897849815e-13
160451.346	1.80283054850286e-13	5.0784917234003405e-14
