time_sec	flux	flux_err
91.961	2.2839722705231001e-10	4.8860697846157695e-11
120.668	2.93448432837134e-10	6.40357038817563e-11
150.241	1.88847881652225e-10	4.2426151582074897e-11
190.204	5.89700740427607e-11	1.33106393226936e-11
345.878	1.2505394419922798e-11	2.82441050256635e-12
465.636	1.6353107042701797e-11	3.6677857931349196e-12
575.087	1.1542226475542299e-11	2.6019554798648097e-12
731.238	8.91065337874998e-12	2.0128234632247797e-12
924.038	7.26267260173417e-12	1.6305748307832998e-12
1111.317	7.49046857937607e-12	1.69721609906126e-12
1393.58	3.56053292330561e-12	9.14385214336454e-13
6199.921	8.7412027667365e-13	1.79112020653726e-13
11060.074	1.12578135844867e-12	2.99852386439959e-13
12390.913	1.03462297863987e-12	2.53868864990487e-13
17352.153	8.63991531799938e-13	1.73875604949703e-13
29076.859	4.93252842732889e-13	9.5317623397136e-14
