time_sec	flux	flux_err
5.12099999932571	7.79047965131073e-07	1.42390381272087e-07
15.3609999990836	1.05901477007504e-06	2.11114028796543e-07
25.6009999988416	6.50080697939233e-07	1.1940482556712e-07
35.8409999990652	4.16515852401516e-07	6.79101783121006e-08
46.0809999992887	2.52753748474956e-07	5.41356856655104e-08
56.3209999990466	3.54391945450176e-07	5.35721100432936e-08
66.5609999988045	2.10306291073469e-07	5.28387850825141e-08
76.800999999028	2.39652808970841e-07	4.57431877263089e-08
87.0409999992516	1.90501043208907e-07	3.71447561097741e-08
97.2809999990094	1.47882927999657e-07	3.01553386710859e-08
107.520999998767	1.36727145256869e-07	2.4477802109281e-08
117.760999998991	8.66409773006881e-08	2.00315331466025e-08
128.000999999214	9.6888836187599e-08	1.64907762405862e-08
143.480999999036	2.87210155305298e-08	6.288580571218641e-09
164.200999999111	1.16234950368842e-08	2.26622271655586e-09
195.300999999035	3.1810877328224e-08	5.291630417322661e-09
236.780999999024	8.95808963604079e-08	1.46198505190365e-08
278.260999999016	1.63889781985246e-08	3.4026601355879503e-09
118.939957891411	1.22414120914498e-08	1.49651327818666e-09
119.550284908456	1.42081993794752e-08	1.7438668612864302e-09
120.275858862487	1.90842115813115e-08	2.33280505074449e-09
120.967501405351	1.93558878764904e-08	2.447944149594345e-09
121.540454728394	1.56580183800071e-08	1.9408413580466303e-09
122.346144405842	1.3466758501916e-08	1.673617116752285e-09
123.222888101602	1.47760601517579e-08	1.8042635808349403e-09
123.883504308605	1.65179625653751e-08	2.0416861334165104e-09
124.64210043411	1.88165501478764e-08	2.418526381115565e-09
125.496097804513	1.33774978303039e-08	1.7071396016179002e-09
126.762227212313	1.41195158959426e-08	1.4227757668428901e-09
135.4893	1.33785364238418e-08	1.8498297134379702e-09
136.2971	1.2474555777871e-08	1.6529650805736652e-09
137.1365	1.40850371619618e-08	1.8666915326205904e-09
137.8739	1.21257039736265e-08	1.738209103110995e-09
138.6092	1.48196911683456e-08	2.2191786427227853e-09
139.3535	1.21634353598719e-08	1.9911358112511102e-09
140.2499	1.20665367211245e-08	1.7055495557378653e-09
141.0683	1.36127304998368e-08	1.78105592012217e-09
