time_sec	flux	flux_err
0.541000036486873	9.029778199377321e-09	1.6266280929888101e-09
1.26100004302131	2.50676353436158e-08	4.9372733550768906e-09
1.80100003798803	2.94010429706497e-08	5.2947149857182905e-09
2.34100003295475	5.74076908383046e-08	1.12020177479628e-08
2.96100003892725	2.73031702079727e-08	5.55408820310887e-09
3.62100002722307	2.76340025048941e-08	5.4424382856794505e-09
4.2810000371933	1.55500111070583e-08	2.65669935341954e-09
5.02100004673004	1.23394011853742e-08	2.25886929419693e-09
5.52100002288818	1.42680325634449e-08	2.7971717808635404e-09
5.92100004673004	7.529690846958e-09	2.9451164920635304e-09
6.42100003083547	1.39047487410093e-08	2.4887925820471603e-09
6.88100004613399	1.83400932359159e-08	3.661938362697e-09
7.26100003459237	1.61707275359759e-08	3.1030870004316305e-09
8.02100003789973	9.568572024377981e-09	2.0289916182170103e-09
9.10100003666348	1.1764160753966e-08	2.2485651070789e-09
11.9610000381798	1.09759162176387e-08	1.97497968779623e-09
18.9610000367042	3.33762907468494e-08	6.09779549687584e-09
88.0767868943761	1.7326797544100801e-09	2.5899440701165696e-10
90.4287253737857	1.9786363204792803e-09	3.0102309585494653e-10
93.7439965052631	1.9056697581141703e-09	2.6196571228824203e-10
108.192	1.14084101248645e-09	1.8682881072612348e-10
115.307	1.0605621773236802e-09	1.642004490605795e-10
122.143	1.10380342227712e-09	1.722073936428715e-10
128.578	1.09176233641599e-09	1.7230408016517199e-10
135.837	7.01207219616074e-10	1.39685383821199e-10
142.163	7.022455874453911e-10	1.444480920281375e-10
148.006	6.49041181346364e-10	1.310302457806665e-10
155.569	8.08222178887895e-10	1.718506045909765e-10
162.893	5.65984913311657e-10	1.18194535627899e-10
176.104	6.30111274596022e-10	1.41486099063024e-10
194.381	4.46676172756796e-10	1.00297375092453e-10
215.198	3.90883893952803e-10	8.552389383618689e-11
240.635	3.18030851697202e-10	7.131176485246359e-11
266.623	2.68351066852035e-10	6.025594177879729e-11
296.118	2.99870071516971e-10	6.723959093002359e-11
332.484	2.07562015720341e-10	4.55949938976422e-11
393.693	1.3543167846014002e-10	3.03255336110189e-11
459.75	1.11897932080283e-10	2.51959331944018e-11
526.402	1.29710002398994e-10	2.8417713022170798e-11
587.352	1.6164245793590201e-10	3.5555173433997896e-11
634.437	1.71658756669434e-10	3.7808721920856e-11
694.26	1.18101810519425e-10	2.67799019610188e-11
767.073	9.59175836092737e-11	2.1627874759531e-11
862.066	1.13447927602536e-10	2.2867272296134698e-11
6908.484	4.88070855140012e-12	1.02596341920945e-12
14614.545	2.93738338183621e-12	5.84543213464806e-13
52520.757	1.02636977767581e-12	2.13972581037167e-13
88.0767868943761	1.7326797544100801e-09	2.5899440701165696e-10
90.4287253737857	1.9786363204792803e-09	3.0102309585494653e-10
93.7439965052631	1.9056697581141703e-09	2.6196571228824203e-10
108.192	1.14084101248645e-09	1.8682881072612348e-10
115.307	1.0605621773236802e-09	1.642004490605795e-10
122.143	1.10380342227712e-09	1.722073936428715e-10
128.578	1.09176233641599e-09	1.7230408016517199e-10
135.837	7.01207219616074e-10	1.39685383821199e-10
142.163	7.022455874453911e-10	1.444480920281375e-10
148.006	6.49041181346364e-10	1.310302457806665e-10
155.569	8.08222178887895e-10	1.718506045909765e-10
162.893	5.65984913311657e-10	1.18194535627899e-10
