GRB	Redshift_crosscheck	T90	Gamma	Fluence	PhotonIndex	NH	PeakFlux	log10Ta	log10TaErr	log10Fa	log10FaErr	alpha	alphaErr	beta
GRB190829A	0.0785	58.2	2.0913	64	2.56	11.196957	18.0	3.40640655	0.00974555	0.0077359	-8.58538291	1.18850034	0.00361642	0
GRB191011A	1.722	7.37	1.81479	3.3	1.94	4.47028	1.8	3.15321333	0.06597695	0.005719327	-10.8132081	1.30602449	0.05756962	0
GRB200205B	1.465	458.0	1.90881	54	1.36	5.74026e-05	2.0	4.53640048	0.08886983	0.10035241	-11.7337376	1.56884903	0.19267266	0
GRB201014A	4.56	36.2	1.97336	3.1	2.55	14.2058	0.3	5.54700512	0.16137784	0.33104417	-12.43719871	2.73545391	0.94410954	0
GRB201020A	2.903	14.17	2.0761	9.2	2.25	0.856219	2.1	3.96908872	0.04826492	0.04915322	-11.0900559	1.55158826	0.08306159	0
GRB201024A	0.999	5.00	2.07522	8.1	2.1	1.698663	3.7	3.01817341	0.63285167	0.58074222	-10.4667906	0.99913283	0.03486451	0
GRB201104B	1.954	8.66	1.55046	18	1.47	5.37756	4.1	2.72159651	0.02972805	0.02110237	-9.38944702	1.19537497	0.02348264	0
GRB201221A	5.70	44.5	1.45068	18	1.4	72.9997	1.0	4.54931529	0.02804575	0.04385192	-12.0789806	2.93923332	0.004540267	0
GRB210222B	2.198	12.82	1.98	3.4	2.37	1.4	1.4	3.24642494	0.04927183	0.04184217	-10.4520599	1.37828029	0.05516005	0
GRB210517A	2.486	3.06	1.71079	1.5	1.85	1.43775	1.5	3.057651	0.32132806	0.25872455	-10.8415194	1.21043545	0.08060357	0
GRB210610A	3.54	13.62	1.83562	10	1.41	2.25621	2.4	3.15453451	1.28215864	0.85146569	-10.4044334	1.0816785	0.07850685	0
GRB210731A	1.2525	22.51	2.06317	22	-0.25	0.832807	1.6	4.80200435	0.11699725	0.16085961	-11.9404653	1.74153741	0.27863334	0
GRB211024B	1.1137	603.5	2.08	68	1.63	0.97	0.9	3.43921565	0.01167528	0.01916437	-8.56429146	1.93633006	0.00965772	0
GRB220521A	5.57	13.55	2.02179	8.1	1.97	7.14942	4.7	3.30131796	0.13206168	0.16334814	-10.6276115	1.71067512	0.12291833	0
GRB220611A	2.3608	57.00	1.90103	6.7	1.87	0.2659130107187	NaN	1.12971557	0.81046481	0.22640221	-12.4941008	2.26249671	0.50304248	0
GRB221110A	4.06	8.98	1.88143	5.1	1.41	8.36907	1.1	2.20438137	0.68618385	0.67651915	-9.52540051	1.02202171	0.03483546	0
GRB221226B	2.694	3.44	1.59023	5.4	1.16	13.5415	2.6	0.47461698	0.1469718	0.11871169	-7.35134395	1.32089449	0.04333399	0
GRB230325A	1.664	38.05	2.0855	13	1.82	16.9505	3.3	3.7823081	0.20042492	0.1875455	-10.9066853	0.931411844	0.05714513	0
GRB230414B	3.568	25.98	2.02038	4.7	1.6	4.92316	0.6	4.8792574	0.069549	0.11074106	-11.9505263	2.06160972	0.21988187	0
